Item,Size,kcal
Cheese Wrap,1 Item,364
Cheeseburger,1 Item,399
Cheeseburger Slider,1 Piece,320
Cheesecake,1 Slice,450
Cheesecake Strawberry,1 Slice,430
Cheesy Cauliflower Bake,1 Portion,290
Cheetos,1 Portion,160
Cheez Its,27 Items,150
Chef Salad,1 Portion,400
Chef Salad with Dressing,1 Portion,500
Chendol,1 Cup,320
Cherimoya,100g,75
Cherries,1 Cup,97
Cherry Brownie,1 Item,320
Cherry Cake,1 Slice,389
Cherry Cheesecake,1 Slice,447
Cherry Cookie,1 Item,156
Cherry Cupcake,1 Item,301
Cherry Frozen Yogurt,1 Item,129
Cherry Gelato,1 Item,155
Cherry Ice Cream,1 Item,125
Cherry Jam,1 Tablespoon,50
Cherry Juice,1 Cup,134
Cherry Milkshake,1 Cup,331
Cherry Muffin,1 Item,313
Cherry Pie,1 Slice,325
Cherry Scone,1 Item,184
Cherry Sorbet,1 Item,138
Cherry Sundae,1 Item,395
Cherry Tomatoes,1 Cup,27
Chess Pie,1 Slice,350
Chestnut Cream,1 Tablespoon,60
Chestnuts,1 Portion,69
Chestnuts Roasted,1 Portion,70
Chewing Gum,1 Item,5
Chia Pudding,1 Piece,280
Chia Seeds,1 Portion,138
Chicken Biscuit,1 Piece,440
Chicken Bisque Soup,1 Cup,312
Chicken Bowl,1 Portion,214
Chicken Breast,100g,165
Chicken Broth Soup,1 Cup,231
Chicken Burger,1 Item,247
Chicken Cacciatore,1 Portion,395
Chicken Caesar Salad,1 Portion,490
Chicken Cake,1 Portion,247
Chicken Casserole,1 Portion,420
Chicken Chow Mein,1 Cup,350
Chicken Chowder Soup,1 Cup,244
Chicken Chunky Soup,1 Cup,85
Chicken Congee,1 Portion,482
Chicken Corn Chowder,1 Portion,290
Chicken Cream of Soup,1 Cup,355
Chicken Curry,1 Portion,230
Chicken Drumstick,1 Piece,76
Chicken Feet,100g,215
Chicken Fillet Sandwich,1 Item,530
Chicken Fried Rice,1 Portion,343
Chicken Fried Steak,1 Piece,450
Chicken Fritter,1 Piece,230
Chicken Gizzard,100g,154
Chicken Green Curry,1 Portion,584
Chicken Gyro Sandwich,1 Item,510
Chicken Heart,100g,185
Chicken Jalfrezi,1 Portion,574
Chicken Jambalaya,1 Portion,335
Chicken Leg,1 Piece,246
Chicken Liver,100g,119
Chicken Madras,1 Portion,570
Chicken Marsala,1 Portion,380
Chicken Massaman,1 Portion,467
Chicken Mcnuggets,6 Pieces,270
Chicken Noodle Soup,1 Portion,150
Chicken Omelette,1 Portion,214
Chicken Paella,1 Portion,372
Chicken Panang,1 Portion,375
Chicken Parmesan,1 Portion,585
Chicken Parmesan Sub,1 Item,550
Chicken Pasta,1 Portion,230
Chicken Piccata,1 Portion,390
Chicken Pilaf,1 Portion,363
Chicken Pizza,1 Slice,290
Chicken Plate,1 Portion,230
Chicken Pot Pie,1 Piece,450
Chicken Red Curry,1 Portion,512
Chicken Rice Singaporean,1 Portion,580
Chicken Rice Soup,1 Cup,109
Chicken Risotto,1 Portion,222
Chicken Rogan Josh,1 Portion,379
Chicken Saag,1 Portion,484
Chicken Salad,1 Cup,350
Chicken Salad Sandwich,1 Item,480
Chicken Sandwich Club,1 Item,570
Chicken Satay,2 Items,200
Chicken Sausage,1 Item,110
Chicken Shawarma Plate,1 Portion,530
Chicken Skewer,1 Item,181
Chicken Soup,1 Portion,181
Chicken Spicy Soup,1 Cup,83
Chicken Stew,1 Portion,214
Chicken Stew Soup,1 Cup,226
Chicken Sticky Rice,1 Portion,385
Chicken Taco,1 Item,198
Chicken Thigh,100g,209
Chicken Tikka,1 Portion,290
Chicken Tikka Masala,1 Portion,450
Chicken Tortilla Soup,1 Portion,240
Chicken Vindaloo,1 Cup,370
Chicken Wing,1 Piece,70
Chicken Wrap,1 Item,214
Chicken Yellow Curry,1 Portion,446
Chickpea Burger,1 Item,130
Chickpea Green Curry,1 Portion,564
Chickpea Jalfrezi,1 Portion,510
Chickpea Korma,1 Portion,371
Chickpea Madras,1 Portion,372
Chickpea Massaman,1 Portion,460
Chickpea Panang,1 Portion,519
Chickpea Pasta,1 Cup,190
Chickpea Red Curry,1 Portion,540
Chickpea Rogan Josh,1 Portion,418
Chickpea Saag,1 Portion,522
Chickpea Tikka Masala,1 Portion,595
Chickpea Vindaloo,1 Portion,391
Chickpea Yellow Curry,1 Portion,556
Chickpeas,1 Cup,269
Chicory,1 Cup,7
Chicory Root,100g,73
Chilaquiles,1 Portion,420
Chiles Rellenos,1 Portion,365
Chili Cheese Dosa,1 Piece,320
Chili Cheese Fries,1 Portion,700
Chili Con Carne,1 Cup,380
Chili Con Queso,2 Tablespoons,70
Chili Crab,1 Portion,420
Chili Dog,1 Item,350
Chili Garlic Sauce,1 Teaspoon,5
Chili Pepper,1 Item,18
Chili Powder,1 Teaspoon,8
Chili with Beans,1 Cup,290
Chimaek Fried Chicken,100g,290
Chimichanga,1 Item,443
Chimichurri,1 Tablespoon,50
Chimichurri Steak,1 Portion,500
Chinese Cabbage,1 Cup,12
Chinese Five Spice,1 Teaspoon,7
Chinese Long Bean,100g,47
Chinese Water Chestnut,100g,97
Chip Butty,1 Item,450
Chips Apple,1 Portion,140
Chips Barbecue,1 Portion,150
Chips Cheddar,1 Portion,160
Chips Jalapeno,1 Portion,150
Chips Kettle,1 Portion,150
Chips Pita,1 Portion,130
Chips Plantain,1 Portion,150
Chips Potato,1 Portion,152
Chips Salt and Vinegar,1 Portion,150
Chips Sour Cream and Onion,1 Portion,160
Chips Sweet Potato,1 Portion,160
Chips Tortilla,1 Portion,142
Chips Vegetable,1 Portion,150
Chives,1 Tablespoon,1
Chocolate and Fruit Smoothie,1 Cup,253
Chocolate and Chia Smoothie,1 Cup,216
Chocolate and Flaxseed Smoothie,1 Cup,181
Chocolate and Honey Smoothie,1 Cup,276
Chocolate and Kale Smoothie,1 Cup,203
Chocolate and Oats Smoothie,1 Cup,243
Chocolate and Peanut Butter Smoothie,1 Cup,242
Chocolate and Yogurt Smoothie,1 Cup,183
Chocolate Baking Unsweetened,1 Portion,145
White Chocolate Bar,1 Item,320
Milk Chocolate Bar,1 Item,290
Dark Chocolate Bar,1 Item,200
White Chocolate,1 Piece,75
Milk Chocolate,1 Piece,70
Dark Chocolate,1 Piece,55
Chocolate Brownie,1 Item,313
Chocolate Cake,1 Slice,340
Chocolate Cake with Frosting,1 Slice,389
Chocolate Candy Hershey,1 Item,214
Chocolate Candy Kit Kat,1 Item,218
Chocolate Candy M&Ms,1 Item,240
Chocolate Candy Milky Way,1 Item,264
Chocolate Candy Reeses,1 Item,210
Chocolate Candy Snickers,1 Item,250
Chocolate Candy Twix,1 Item,250
Chocolate Cheesecake,1 Slice,430
Chocolate Chip Cookie,1 Item,180
Chocolate Chips,1 Cup,805
Chocolate Cookie,1 Item,137
Chocolate Covered Almonds,1 Portion,150
Chocolate Covered Raisins,1 Portion,120
Chocolate Covered Strawberry,1 Piece,50
Chocolate Cream Pie,1 Slice,420
Chocolate Cupcake,1 Item,331
Chocolate Frozen Yogurt,1 Item,139
Chocolate Gelato,1 Item,176
Chocolate Hazelnut Spread,2 Tablespoons,200
Chocolate Ice Cream,1 Item,178
Chocolate Lava Cake,1 Piece,350
Chocolate Milk,1 Cup,208
Chocolate Milkshake,1 Cup,373
Chocolate Mousse,1 Cup,240
Chocolate Muffin,1 Item,260
Chocolate Pie,1 Slice,375
Chocolate Sandwich Cookie,1 Item,53
Chocolate Scone,1 Item,229
Chocolate Sorbet,1 Item,120
Chocolate Souffle,1 Piece,185
Chocolate Sprinkles,1 Tablespoon,50
Chocolate Sundae,1 Item,409
Chocolate Swiss Roll,1 Slice,250
Chocolate Syrup,2 Tablespoons,100
Chocolate Truffle,1 Piece,59
Chole Bhature,1 Portion,450
Chorizo,100g,455
Chorizo Beef,1 Portion,110
Chorizo Con Huevos,1 Portion,400
Chorizo Mexican,100g,455
Chorizo Pork,1 Portion,129
Chorizo Spanish,1 Portion,129
Chorizo Taco,1 Item,150
Chourico Portuguese,1 Portion,130
Chow Mein,1 Portion,400
Choy Sum,100g,22
Chrysanthemum Greens,100g,22
Chuan Skewer Chinese,1 Item,90
Churrasco,1 Portion,480
Churro Ice Cream,1 Portion,450
Churros,1 Piece,116
Churros Con Chocolate,1 Portion,350
Ciabatta,1 Slice,100
Cider Hard,1 Portion,180
Cinnamon,1 Teaspoon,6
Cinnamon Roll,1 Item,500
Cinnamon Streusel Cake,1 Slice,350
Cioppino,1 Cup,215
Clafoutis,1 Slice,210
Clam Bake,1 Portion,680
Clam Bisque Soup,1 Cup,306
Clam Broth Soup,1 Cup,107
Clam Chowder,1 Cup,186
Clam Chowder Manhattan,1 Cup,190
Clam Chowder New England,1 Cup,200
Clam Chunky Soup,1 Cup,144
Clam Cream of Soup,1 Cup,242
Clam Noodle Soup,1 Cup,203
Clam Rice Soup,1 Cup,181
Clam Spicy Soup,1 Cup,246
Clam Stew Soup,1 Cup,90
Clams,100g,148
Clarified Butter Ghee,1 Tablespoon,112
Claypot Rice,1 Portion,450
Clementine,1 Item,35
Clif Bar,1 Item,250
Clotted Cream,1 Tablespoon,60
Cloud Eggs,1 Portion,100
Cloudberry,100g,51
Cloves,1 Teaspoon,7
Club Sandwich,1 Item,470
Cobb Salad,1 Portion,530
Cobb Salad with Dressing,1 Portion,356
Cobbler Apple,1 Portion,280
Cobbler Berry,1 Portion,250
Cobbler Peach,1 Portion,260
Cobia,100g,105
Cocido Madrileno,1 Portion,600
Cock a Leekie Soup,1 Cup,165
Cockle,100g,79
Cocoa Nibs,1 Portion,130
Coconut Bacon Bits,1 Tablespoon,35
Coconut Brownie,1 Item,245
Coconut Cake,1 Slice,380
Coconut Cheesecake,1 Slice,446
Coconut Chutney,2 Tablespoons,60
Coconut Cookie,1 Item,185
Coconut Cream,100g,330
Coconut Cream Pie,1 Slice,400
Coconut Cupcake,1 Item,295
Coconut Curry Soup,1 Portion,280
Coconut Flakes Sweetened,1 Cup,524
Coconut Flakes Unsweetened,1 Cup,412
Coconut Frozen Yogurt,1 Item,144
Coconut Gelato,1 Item,166
Coconut Ice Cream,1 Item,144
Coconut Ice Cream Thai,1 Cup,330
Coconut Meat,1 Cup,283
Coconut Milk,1 Cup,229
Coconut Milkshake,1 Cup,342
Coconut Muffin,1 Item,339
Coconut Oil,1 Tablespoon,117
Coconut Pie,1 Slice,456
Coconut Scone,1 Item,257
Coconut Sorbet,1 Item,108
Coconut Sugar,1 Teaspoon,15
Coconut Sundae,1 Item,412
Coconut Water,1 Cup,46
Cod,100g,105
Coffee Black,1 Cup,2
Coffee Brownie,1 Item,309
Coffee Cake,1 Slice,280
Coffee Cheesecake,1 Slice,441
Coffee Cookie,1 Item,167
Coffee Cupcake,1 Item,238
Coffee Frozen Yogurt,1 Item,148
Coffee Gelato,1 Item,207
Coffee Ice Cream,1 Item,133
Coffee Milkshake,1 Cup,353
Coffee Muffin,1 Item,306
Coffee Pie,1 Slice,384
Coffee Scone,1 Item,277
Coffee Sorbet,1 Item,119
Coffee Sundae,1 Item,439
Coffee with Cream,1 Cup,52
Coffee with Milk,1 Cup,25
Coffee with Sugar,1 Cup,35
Cognac,1 Portion,100
Cointreau,1 Portion,95
Colby,1 Portion,112
Colby Jack,1 Portion,109
Colcannon Irish,1 Portion,220
Cold Brew Coffee,1 Cup,5
Cold Gazpacho Soup,1 Portion,80
Coleslaw,1 Cup,150
Coleslaw Creamy,1 Cup,250
Collard Greens,1 Cup,11
Com Tam,1 Portion,520
Com Tam Broken Rice,1 Portion,490
Comte,1 Portion,111
Conch,100g,130
Condensed Milk,1 Cup,982
Confectioners Sugar,1 Tablespoon,32
Confit De Canard,1 Portion,640
Congee Plain,1 Portion,100
Congee Pork,1 Cup,170
Congee with Century Egg,1 Portion,180
Congee with Pork,1 Portion,180
Cookie Butter,1 Tablespoon,90
Cookie Chocolate Chip,1 Item,78
Cookie Double Chocolate,1 Item,140
Cookie Dough Frozen Yogurt,1 Item,118
Cookie Dough Gelato,1 Item,191
Cookie Dough Ice Cream,1 Item,134
Cookie Dough Milkshake,1 Cup,343
Cookie Dough Sorbet,1 Item,90
Cookie Dough Sundae,1 Item,426
Cookie Oatmeal Raisin,1 Item,105
Cookie Peanut Butter,1 Item,95
Cookie Snickerdoodle,1 Item,90
Cookie Sugar,1 Item,66
Cookie White Chocolate Macadamia,1 Item,130
Coppa,1 Portion,100
Coq Au Vin,1 Portion,350
Coriander Ground,1 Teaspoon,5
Corn,1 Item,88
Corn Bisque Soup,1 Cup,347
Corn Broth Soup,1 Cup,132
Corn Chips,1 Portion,153
Corn Chowder,1 Cup,220
Corn Chowder Soup,1 Cup,382
Corn Chunky Soup,1 Cup,125
Corn Cream of Soup,1 Cup,284
Corn Dog,1 Item,330
Corn Noodle Soup,1 Cup,150
Corn Nuts,1 Portion,130
Corn Off the Cob,1 Cup,132
Corn Oil,1 Tablespoon,122
Corn on the Cob,1 Item,100
Corn Pudding,1 Portion,270
Corn Rice Soup,1 Cup,177
Corn Spicy Soup,1 Cup,80
Corn Stew Soup,1 Cup,147
Corn Syrup,1 Tablespoon,62
Cornbread,1 Piece,173
Corned Beef,100g,251
Cornish Hen,1 Portion,147
Cornish Pasty,1 Item,425
Cosmopolitan,1 Item,146
Cosmopolitan Cocktail,1 Portion,146
Cotechino Sausage,100g,345
Cotija,1 Portion,106
Cottage Cheese,1 Cup,206
Cottage Pie,1 Piece,400
Cotton Candy,1 Portion,105
Cottonseed Oil,1 Tablespoon,120
Cou Cou,1 Portion,280
Country Fried Steak,1 Piece,430
Couscous,1 Cup,176
Cowpeas,1 Cup,198
Coxinha,1 Piece,240
Crab Bisque,1 Cup,280
Crab Blue,100g,87
Crab Broth Soup,1 Cup,108
Crab Cake,1 Slice,160
Crab Chowder Soup,1 Cup,363
Crab Chunky Soup,1 Cup,137
Crab Cream of Soup,1 Cup,398
Crab Dip,2 Tablespoons,60
Crab Dungeness,100g,86
Crab and Roll,1 Item,142
Crab King,100g,97
Crab Maki Roll,1 Piece,42
Crab Meat,100g,97
Crab Nigiri,1 Piece,54
Crab Noodle Soup,1 Cup,219
Crab Rangoon,4 Pieces,200
Crab Rice Soup,1 Cup,199
Crab Sashimi,1 Piece,44
Crab Snow,100g,90
Crab Spicy Roll,1 Piece,53
Crab Spicy Soup,1 Cup,183
Crab Stew Soup,1 Cup,211
Crab Tempura Roll,1 Piece,58
Crackers Graham,2 Items,118
Crackers Ritz,5 Items,79
Crackers Saltine,5 Items,65
Crackers Triscuit,6 Items,120
Crackers Wheat Thins,16 Items,140
Cranberries,1 Cup,46
Cranberry Juice,1 Cup,137
Cranberry Juice Cocktail,1 Cup,137
Cranberry Sauce,1 Cup,418
Crawfish Boil,1 Portion,380
Crawfish Etouffee,1 Cup,320
Crayfish,100g,82
Cream Cheese,1 Portion,99
Cream Gravy,1 Cup,180
Broccoli Soup,1 Portion,260
Mushrooms Soup,1 Portion,203
Tomato Soup,1 Portion,185
Cream Puff,1 Piece,112
Creamed Corn,1 Cup,183
Creamed Spinach,1 Cup,194
Creamsicle,1 Item,100
Creamy Mushrooms Sauce,2 Tablespoons,60
Crema Catalana,1 Piece,310
Creme Caramel,1 Piece,240
Creme Fraiche,1 Tablespoon,55
Cremini Mushrooms,1 Cup,19
Crepe Buckwheat,1 Item,100
Crepe Plain,1 Item,90
Crepe Suzette,1 Item,290
Crepe Savory,1 Item,620
Crepe Sweet,1 Item,510
Crepe with Chocolate Hazelnut Spread,1 Item,400
Crispbread,1 Piece,37
Fried Onions,2 Tablespoons,45
Croaker,100g,104
Croissant,1 Item,231
Croissant Almond,1 Item,340
Croissant Butter,1 Item,231
Croissant Chocolate,1 Item,270
Croissant Salami and Cheese,1 Item,340
Croque Madame,1 Item,590
Croque Monsieur,1 Item,510
Croquetas,3 Pieces,210
Croquetas De Jamon,2 Pieces,200
Crostini,3 Pieces,120
Croutons,1 Cup,122
Crumble Apple,1 Portion,330
Crumble Berry,1 Portion,290
Crumpet,1 Piece,100
Creme Brulee,1 Piece,298
Cuban Sandwich,1 Item,620
Cucumber,1 Cup,16
Cucumber Raita,1 Cup,100
Culatello,1 Portion,60
Cullen Skink,1 Cup,280
Cumberland Sauce,1 Tablespoon,35
Cumin Ground,1 Teaspoon,8
Cup Noodles,1 Cup,290
Red Velvet Cupcake,1 Item,350
Vanilla Cupcake,1 Item,253
Curd Rice,1 Cup,260
Cured Ham,100g,163
Curly Fries,1 Portion,410
Currant,1 Cup,63
Curried Artichoke,1 Portion,81
Curried Asparagus,1 Portion,27
Curried Bacon,1 Portion,170
Curried Beef,1 Portion,337
Curried Beef Ribs,1 Item,432
Curried Broccoli,1 Portion,74
Curried Brussels Sprouts,1 Portion,58
Curried Cauliflower,1 Portion,33
Curried Cheese,1 Portion,378
Curried Chicken,1 Portion,222
Curried Chickpeas,1 Portion,280
Curried Egg,1 Portion,105
Curried Eggplant,1 Portion,33
Curried Fish,1 Portion,162
Curried Green Beans,1 Portion,41
Curried Kale,1 Portion,44
Curried Lamb,1 Portion,380
Curried Mixed Vegetables,1 Portion,47
Curried Mushrooms,1 Portion,29
Curried Pork,1 Portion,311
Curried Pork Ribs,1 Item,405
Curried Potatoes,1 Portion,103
Curried Salmon,1 Portion,278
Curried Seafood,1 Portion,202
Curried Shrimp,1 Portion,133
Curried Spinach,1 Portion,31
Curried Sweet Corn,1 Portion,116
Curried Sweet Potatoes,1 Portion,116
Curried Tofu,1 Portion,102
Curried Tuna,1 Portion,178
Curried Vegetables,1 Portion,108
Curried Zucchini,1 Portion,22
Curry Powder,1 Teaspoon,7
Curry Puff,1 Item,200
Currywurst,1 Portion,475
Custard,1 Cup,300
Cuttlefish,100g,79
Dahl Baati,1 Portion,480
Dai Pai Dong Oyster Omelette,1 Portion,380
Daifuku,1 Piece,110
Daikon,100g,18
Daikon Radish,1 Cup,21
Daiquiri,1 Item,186
Dakdoritang,1 Cup,280
Dakgalbi,1 Portion,400
Dal Fry,1 Portion,290
Dal Makhani,1 Portion,380
Dal Tadka,1 Portion,260
Dampfnudel,1 Item,260
Damson Plum,100g,56
Dan Dan Noodles,1 Portion,550
Dandelion Greens,1 Cup,25
Dango,3 Pieces,140
Danish Pastry,1 Piece,266
Kataifi,1 Piece,320
Dubai Chocolate,100g,540
Dark Chocolate Covered Almonds,1 Portion,156
Dasik,1 Piece,30
Date,1 Piece,20
Deep Dish Pizza,1 Portion,720
Deep Fried Camembert,1 Portion,350
Venison,100g,158
Deli Sandwich Turkey,1 Item,360
Demi-Glace,1 Tablespoon,20
Derby Pie,1 Slice,490
Detox Green Smoothie,1 Cup,90
Devil'S Food Cake,1 Slice,389
Deviled Eggs,1 Item,62
Deviled Ham,2 Tablespoons,90
Dhokla,1 Piece,75
Dill Pickles,1 Item,11
Dill Seed,1 Teaspoon,6
Dill Weed,1 Teaspoon,1
Dim Sum Har Gow,3 Pieces,160
Dim Sum Platter,10 Pieces,650
Dim Sum Siu Mai,3 Pieces,200
Dirty Rice,1 Portion,390
Divinity Candy,1 Piece,57
Dobos Torte,1 Slice,340
Doenjang Jjigae,1 Portion,180
Kolokythakia Gemista,1 Portion,430
Dolmades,5 Pieces,165
Donauwelle,1 Slice,380
Donburi Beef,1 Portion,540
Donburi Chicken,1 Portion,490
Doner Kebab,1 Item,550
Doner Kebab Plate,1 Portion,560
Donut Chocolate,1 Item,303
Donut Glazed,1 Item,269
Donut Jelly Filled,1 Item,289
Donut Powdered,1 Item,240
Dorayaki,1 Piece,140
Doro Wat,1 Portion,420
Dosa,1 Item,133
Dosa Masala,1 Piece,250
Doubanjiang Mapo Tofu,1 Portion,340
Double Cheeseburger,1 Item,540
Double Gloucester,1 Portion,120
Donut Cake,1 Slice,226
Donut,1 Item,300
Douhua,1 Cup,120
Dover Sole,100g,86
Dragon Fruit,1 Item,60
Dragon Roll,8 Pieces,380
Dried Apple Rings,1 Portion,70
Dried Apricots,1 Cup,313
Dried Banana Chips,1 Portion,147
Dried Cranberries,1 Cup,308
Dried Mango,1 Cup,319
Dried Mango Slices,1 Portion,80
Dried Noodles,100g,350
Dried Papaya,1 Portion,82
Dried Pasta,100g,357
Dried Pineapple,1 Portion,82
Dried Seaweed Snack,1 Item,30
Breakfast Platter,1 Portion,750
Moringa,100g,37
Drunken Noodles,1 Cup,410
Duchess Potatoes,1 Portion,230
Duck a l'orange,1 Portion,410
Duck Breast,100g,201
Duck Confit,100g,339
Duck Confit with Frites,1 Portion,860
Duck Egg,1 Item,130
Duck Fat,1 Tablespoon,113
Duck Heart,100g,150
Duck Leg,100g,217
Duck Liver,100g,136
Dulse,1 Cup,20
Dulse Seaweed,100g,147
Dumplings Pork,4 Pieces,240
Dumplings Soup,1 Portion,250
Durian,100g,147
Dutch Baby Pancake,1 Piece,220
Dynamite Roll,8 Pieces,370
Eclair,1 Item,262
Edam,1 Portion,101
Edamame,1 Cup,188
Edamame Hummus,2 Tablespoons,50
Edamame Pasta,1 Cup,170
Edamame Salted,1 Cup,188
Edamame Steamed,1 Cup,188
Eel,100g,184
Eel and Roll,1 Item,151
Eel Maki Roll,1 Piece,45
Eel Nigiri,1 Piece,56
Eel Sashimi,1 Piece,32
Eel Spicy Roll,1 Piece,52
Eel Tempura Roll,1 Piece,60
Egg and Cress Sandwich,1 Item,310
Egg Bhurji,1 Portion,220
Egg Bowl,1 Portion,101
Egg Burger,1 Item,117
Egg Cake,1 Portion,117
Egg Casserole,1 Portion,259
Egg Curry,1 Portion,320
Egg Drop Soup,1 Cup,65
Egg Foo Young,1 Portion,420
Egg Fried Rice,1 Portion,380
Egg Fritter,1 Piece,109
Egg Mcmuffin,1 Piece,300
Egg Noodles,1 Portion,219
Egg Pasta,1 Portion,221
Egg Risotto,1 Portion,105
Egg Roll,1 Piece,222
Egg Salad,1 Cup,530
Egg Salad Sandwich,1 Item,440
Egg Skewer,1 Item,85
Egg Soup,1 Portion,85
Egg Stew,1 Portion,101
Egg Taco,1 Item,220
Egg Tart Chinese,1 Item,183
Egg Waffle,1 Piece,270
Egg White,1 Item,17
Egg Wrap,1 Item,101
Egg Yolk,1 Item,55
Eggnog,1 Cup,343
Eggnog Latte,1 Cup,340
Eggplant,1 Cup,20
Eggplant Parmesan,1 Portion,320
Eggs Benedict,1 Portion,560
Eggs Florentine,1 Portion,430
Eggs in Purgatory,1 Portion,250
Egusi Soup,1 Portion,380
Egusi Stew,1 Portion,350
Eight Treasure Rice,1 Portion,380
Eintopf,1 Portion,350
Elderberries,1 Cup,106
Elephant Yam,100g,118
Elk,100g,137
Elk Meat,100g,146
Elote,1 Item,200
Emmental,1 Portion,108
Empanada Baked,1 Piece,250
Empanada Beef,1 Item,280
Empanada Cheese,1 Item,310
Empanada Chicken,1 Item,265
Empanada Dough,1 Piece,180
Empanada Fried,1 Piece,300
Empanada Gallega,1 Slice,320
Emu Meat,100g,122
Enchilada Beef,1 Item,323
Enchilada Cheese,1 Item,230
Enchilada Chicken,1 Item,280
Enchiladas Verdes,2 Pieces,530
Endive,1 Cup,9
Energy Bar,1 Item,230
Energy Drink,1 Item,110
Energy Drink Sugar Free,1 Item,10
English Custard,1 Cup,300
English Muffin,1 Item,134
Enoki Mushrooms,100g,37
Epoisses,1 Portion,90
Equal,1 Item,4
Erythritol,1 Teaspoon,1
Escalivada,1 Cup,85
Escargots,6 Pieces,130
Escarole,1 Cup,8
Escolar,100g,232
Escovitch Fish,1 Portion,300
Espresso,1 Item,3
Esquites,1 Cup,260
Eton Mess,1 Piece,320
Etouffee,1 Cup,320
Evaporated Milk,1 Cup,338
Ezekiel Bread,1 Slice,80
Fabada Asturiana,1 Portion,550
Faggots in Gravy,1 Portion,380
Falafel,1 Item,57
Falafel Wrap,1 Item,450
Falooda,1 Item,400
Farfalle with Sauce,1 Portion,420
Farina Porridge,1 Cup,110
Farro,1 Cup,200
Fasolada,1 Cup,210
Fatayer,1 Piece,180
Fatteh,1 Portion,380
Fattoush,1 Portion,190
Fava Beans,1 Cup,187
Feijao Tropeiro,1 Portion,430
Feijoa,100g,55
Feijoada,1 Cup,400
Fennel Bulb,1 Cup,27
Fenugreek Seed,1 Teaspoon,12
Fermented Black Beans,1 Tablespoon,20
Fesenjan,1 Portion,450
Feta,1 Portion,75
Fettuccine Alfredo,1 Portion,650
Fettuccine with Sauce,1 Portion,450
Fiber Bar,1 Item,140
Fiddlehead Fern,100g,34
Fig,1 Item,37
Financier,1 Item,120
Fingerling Potato,100g,80
Finocchiona Salami,1 Portion,110
Fireball,1 Portion,108
Fish and Beans,1 Portion,143
Fish and Broccoli,1 Portion,113
Fish and Carrots,1 Portion,143
Fish and Chips,1 Portion,838
Fish and Corn,1 Portion,143
Fish and Kale,1 Portion,160
Fish and Mushrooms,1 Portion,150
Fish and Noodles,1 Portion,167
Fish and Onions,1 Portion,220
Fish and Pasta,1 Portion,180
Fish and Peas,1 Portion,143
Fish and Peppers,1 Portion,143
Fish and Quinoa,1 Portion,156
Fish and Rice,1 Portion,162
Fish and Spinach,1 Portion,130
Fish Bowl,1 Portion,156
Fish Burger,1 Item,400
Fish Cake,1 Portion,180
Fish Casserole,1 Portion,368
Fish Curry,1 Portion,168
Fish Fillet Breaded,100g,199
Fish Fritter,1 Piece,168
Fish Green Curry,1 Portion,459
Fish Jalfrezi,1 Portion,386
Fish Korma,1 Portion,464
Fish Madras,1 Portion,499
Fish Massaman,1 Portion,391
Fish Omelette,1 Portion,156
Fish Panang,1 Portion,360
Fish Pie,1 Piece,430
Fish Plate,1 Portion,168
Fish Red Curry,1 Portion,502
Fish Risotto,1 Portion,162
Fish Rogan Josh,1 Portion,473
Fish Saag,1 Portion,520
Fish Salad,1 Portion,120
Fish Sandwich,1 Item,250
Fish Sauce,1 Tablespoon,6
Fish Skewer,1 Item,132
Fish Soup,1 Portion,132
Fish Stew,1 Portion,156
Fish Stick,1 Item,76
Fish Taco,1 Item,170
Fish Tikka Masala,1 Portion,451
Fish Vindaloo,1 Portion,593
Fish Wrap,1 Item,156
Fish Yellow Curry,1 Portion,398
Fishball Skewer,1 Item,120
Fishcrackers,1 Portion,120
Fiskekaker Fish Cake,1 Piece,120
Flammkuchen,1 Slice,200
Flan,1 Piece,250
Flat White,1 Cup,120
Flatbread,1 Piece,150
Flatbread Pizza,1 Slice,215
Flautas,2 Pieces,350
Flax Milk,1 Cup,25
Flax Seeds,1 Portion,150
Flaxseed Ground,1 Tablespoon,37
Flaxseed Oil,1 Tablespoon,120
Flaxseed Whole,1 Tablespoon,55
Fleischkase,1 Portion,290
Coca Cola,1 Item,139
Diet Coca Cola,1 Item,0
Florentine Cookie,1 Piece,87
Flounder,100g,86
Flourless Chocolate Cake,1 Slice,340
Flying Fish,100g,100
Focaccia,1 Slice,142
Focaccia Pizza,1 Slice,275
Foie Gras,1 Portion,130
Fonio,1 Portion,250
Fontina,1 Portion,110
Footlong Sub,1 Item,750
Forbidden Rice Cooked,1 Cup,200
Fortune Cookie,1 Piece,25
Francesinha,1 Item,900
Frappuccino,1 Item,380
Freekeh,1 Cup,200
French Bread,1 Slice,88
French Dip Sandwich,1 Item,600
French Dressing,2 Tablespoons,146
French Fries,1 Portion,365
French Fries Steak Cut,1 Portion,360
French Lentils,1 Cup,230
French Onion Dip,2 Tablespoons,60
French Onion Soup,1 Cup,300
French Onion Soup Gratinee,1 Portion,410
French Toast,1 Slice,149
Fried Artichoke,1 Portion,90
Fried Asparagus,1 Portion,30
Fried Bacon,1 Portion,200
Fried Banana,1 Piece,100
Fried Beef,1 Portion,375
Fried Beef Ribs,1 Item,480
Fried Beef Steak,1 Portion,405
Fried Broccoli,1 Portion,82
Fried Brussels Sprouts,1 Portion,64
Fried Cauliflower,1 Portion,37
Fried Cheese,1 Portion,350
